0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:03:11 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:04:47 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:04:47 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:04:48 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:04:50 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:04:50 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:13:04:51 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:34:50 +0530] "GET /WeChatBackend/logout HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:34:54 +0530] "GET /WeChatBackend/logout HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:34:59 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:35:21 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9591
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:18 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatFrontend/images/55.jpg HTTP/1.1" 200 91665
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatFrontend/controller/frienddetailcontroller.js HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:20 +0530] "GET /WeChatFrontend/js/sockjs/sockjs.js HTTP/1.1" 200 77234
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:21 +0530] "GET /WeChatFrontend/controller/chatcontroller.js HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:21 +0530] "GET /WeChatFrontend/service/chatservice.js HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:44:21 +0530] "GET /WeChatFrontend/js/stomp/dist/stomp.js HTTP/1.1" 200 11823
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:48:57 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:49:32 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:49:32 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:49:32 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:49:32 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 200 109261
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:49:32 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 200 140449
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:49:32 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 200 376969
0:0:0:0:0:0:0:1 - - [19/Sep/2017:15:50:28 +0530] "GET /WeChatFrontend/views/registrationform.html HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:12 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:12 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:12 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:15 +0530] "GET /WeChatFrontend/views/login.html HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:23 +0530] "POST /WeChatBackend/login HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:23 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:26 +0530] "GET /WeChatFrontend/views/viewprofile.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:13:26 +0530] "GET /WeChatBackend/getuserdetails/undefined HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:40 +0530] "GET /WeChatFrontend/views/ListOfFriends.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:40 +0530] "GET /WeChatBackend/getimage/%7B%7Bf.fromId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:40 +0530] "GET /WeChatBackend/getimage/%7B%7Bf.toId%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:42 +0530] "GET /WeChatBackend/friendslist HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:42 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:42 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:42 +0530] "GET /WeChatBackend/getimage/lakshmi HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:42 +0530] "GET /WeChatBackend/getimage/niit321 HTTP/1.1" 200 60425
0:0:0:0:0:0:0:1 - - [19/Sep/2017:16:14:42 +0530] "GET /WeChatBackend/getimage/Aparna HTTP/1.1" 200 170871
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:19 +0530] "GET /WeChatBackend/getuserdetails/undefined HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:19 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:21 +0530] "GET /WeChatBackend/getuserdetails/undefined HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:21 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:31 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:33 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:33 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:33 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:34 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:43 +0530] "GET /WeChatFrontend/views/viewprofile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:43 +0530] "GET /WeChatBackend/getuserdetails/undefined HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:43 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:49 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:49 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:20:49 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:05 +0530] "GET /WeChatBackend/getuserdetails/undefined HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:05 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:11 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:11 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:11 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:54 +0530] "GET /WeChatFrontend/views/jobtitles.html HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:54 +0530] "GET /WeChatBackend/getalljobs HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:54 +0530] "GET /WeChatBackend/getuser HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [19/Sep/2017:17:21:56 +0530] "GET /WeChatBackend/getalljobs HTTP/1.1" 401 51
