0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:36 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatFrontend/images/12s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatFrontend/views/listofpendingrequests.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatBackend/getimage/lakshmi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatBackend/getpendingrequests HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:22:37 +0530] "GET /WeChatBackend/getsuggestedusers HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9129
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:04 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:09 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:09 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:09 +0530] "GET /WeChatFrontend/images/12s.png HTTP/1.1" 200 38885
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:09 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5918
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:09 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:10 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 200 109261
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:23:10 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 200 376969
